"filename", "language", "Dart", "comment", "blank", "total"
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/background/background_model.dart", "Dart", 0, 0, 1, 1
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/child/child_model.dart", "Dart", 68, 14, 7, 89
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/child/child_model.freezed.dart", "Dart", 341, 14, 33, 388
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/child/child_model.g.dart", "Dart", 68, 4, 9, 81
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/clothing/clothing_model.dart", "Dart", 0, 0, 1, 1
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/goal/goal_model.dart", "Dart", 0, 0, 1, 1
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/models_bucket.dart", "Dart", 9, 0, 1, 10
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/parent/parent_model.dart", "Dart", 31, 14, 4, 49
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/parent/parent_model.freezed.dart", "Dart", 291, 14, 33, 338
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/parent/parent_model.g.dart", "Dart", 67, 4, 9, 80
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/route/route_model.dart", "Dart", 0, 0, 1, 1
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/school/school_model.dart", "Dart", 29, 2, 5, 36
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/school/school_model.freezed.dart", "Dart", 278, 14, 32, 324
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/school/school_model.g.dart", "Dart", 63, 4, 9, 76
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/trophy/trophy_model.dart", "Dart", 0, 0, 1, 1
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/user/user_model.dart", "Dart", 11, 6, 3, 20
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/user/user_model.freezed.dart", "Dart", 173, 14, 26, 213
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/repositories/authentication_repository.dart", "Dart", 135, 25, 18, 178
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/repositories/child_repository.dart", "Dart", 96, 20, 14, 130
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/repositories/grow_repository.dart", "Dart", 10, 4, 3, 17
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/repositories/parent_repository.dart", "Dart", 85, 17, 11, 113
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/repositories/repository_mixins.dart", "Dart", 18, 7, 3, 28
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/admin/admin_entity.dart", "Dart", 10, 6, 5, 21
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/background/background_entity.dart", "Dart", 17, 1, 4, 22
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/background/background_entity.freezed.dart", "Dart", 225, 14, 27, 266
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/child/child_entity.dart", "Dart", 23, 11, 11, 45
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/clothing/clothing_entity.dart", "Dart", 14, 1, 2, 17
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/clothing/clothing_entity.freezed.dart", "Dart", 224, 14, 27, 265
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/entities_bucket.dart", "Dart", 11, 0, 1, 12
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/entity.dart", "Dart", 14, 4, 4, 22
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/goal/goal_entity.dart", "Dart", 17, 0, 2, 19
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/goal/goal_entity.freezed.dart", "Dart", 273, 14, 27, 314
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/parent/parent_entity.dart", "Dart", 18, 9, 9, 36
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/route/route_entity.dart", "Dart", 13, 2, 2, 17
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/route/route_entity.freezed.dart", "Dart", 194, 14, 27, 235
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/school/school_entity.dart", "Dart", 17, 7, 7, 31
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/trophy/trophy_entity.dart", "Dart", 19, 2, 7, 28
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/trophy/trophy_entity.freezed.dart", "Dart", 239, 14, 33, 286
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/trophy/trophy_entity.g.dart", "Dart", 62, 4, 9, 75
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/user/user_entity.dart", "Dart", 21, 15, 9, 45
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/repositories/authentication_repository.dart", "Dart", 17, 24, 10, 51
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/repositories/child_repository.dart", "Dart", 12, 15, 7, 34
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/repositories/grow_repository.dart", "Dart", 8, 3, 2, 13
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/repositories/parent_repository.dart", "Dart", 10, 13, 6, 29
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/authentication/authenticate_user.dart", "Dart", 28, 8, 8, 44
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/authentication/get_authenitcated_user.dart", "Dart", 19, 2, 3, 24
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/child/disable_child_acc.dart", "Dart", 24, 8, 7, 39
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/child/edit_child.dart", "Dart", 21, 7, 6, 34
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/child/enable_child_acc.dart", "Dart", 25, 8, 7, 40
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/child/get_children.dart", "Dart", 21, 7, 6, 34
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/child/get_children_by_id.dart", "Dart", 23, 8, 8, 39
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/child/get_children_by_school.dart", "Dart", 24, 10, 8, 42
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/child/get_current_child_user.dart", "Dart", 31, 4, 4, 39
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/child/register_new_child_user.dart", "Dart", 52, 14, 11, 77
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/child/sign_up_new_child_user.dart", "Dart", 61, 18, 12, 91
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/mixins.dart", "Dart", 24, 0, 3, 27
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/parent/disable_parent_account.dart", "Dart", 20, 7, 7, 34
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/parent/edit_parent.dart", "Dart", 21, 7, 6, 34
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/parent/enable_parent_account.dart", "Dart", 22, 7, 7, 36
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/parent/get_parent_by_id.dart", "Dart", 23, 8, 6, 37
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/parent/get_parents.dart", "Dart", 21, 5, 5, 31
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/parent/register_new_parent_user.dart", "Dart", 44, 10, 8, 62
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/parent/sign_up_new_parent.dart", "Dart", 47, 8, 9, 64
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/user_login.dart", "Dart", 22, 6, 8, 36
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/user_sign_out.dart", "Dart", 19, 4, 5, 28
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/bloc/authentication_bloc.dart", "Dart", 54, 3, 9, 66
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/bloc/authentication_event.dart", "Dart", 13, 5, 6, 24
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/bloc/authentication_state.dart", "Dart", 29, 12, 13, 54
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/child/pages/home/cubit/home_cubit.dart", "Dart", 31, 3, 5, 39
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/child/pages/home/cubit/home_state.dart", "Dart", 16, 6, 5, 27
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/child/pages/home/cubit/home_state.freezed.dart", "Dart", 158, 14, 29, 201
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/child/pages/home/view/home_page.dart", "Dart", 74, 5, 7, 86
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/child/pages/sign_up/cubit/child_sign_up_cubit.dart", "Dart", 56, 19, 11, 86
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/child/pages/sign_up/cubit/child_sign_up_state.dart", "Dart", 18, 6, 5, 29
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/child/pages/sign_up/cubit/child_sign_up_state.freezed.dart", "Dart", 192, 14, 29, 235
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/child/pages/sign_up/view/sign_up_page.dart", "Dart", 89, 10, 9, 108
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/child/widgets/form_group/sign_up_form_group.dart", "Dart", 28, 16, 4, 48
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/child/widgets/form_widget/form_widget_1.dart", "Dart", 37, 4, 4, 45
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/child/widgets/form_widget/form_widget_2.dart", "Dart", 33, 2, 3, 38
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/child/widgets/form_widget/form_widget_3.dart", "Dart", 33, 2, 3, 38
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/pages/login/cubit/login_cubit.dart", "Dart", 23, 3, 5, 31
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/pages/login/cubit/login_state.dart", "Dart", 15, 6, 7, 28
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/pages/login/cubit/login_state.freezed.dart", "Dart", 125, 14, 26, 165
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/pages/login/view/login_page.dart", "Dart", 55, 5, 4, 64
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/pages/login/widgets/form_group/login_form_group.dart", "Dart", 8, 5, 3, 16
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/pages/login/widgets/form_widget/form_widget_1.dart", "Dart", 51, 3, 3, 57
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/pages/splash_page.dart", "Dart", 12, 2, 3, 17
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/utils/forms_interface.dart", "Dart", 6, 4, 5, 15
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/utils/pages_interface.dart", "Dart", 0, 0, 2, 2
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/widgets/constant_colors.dart", "Dart", 22, 17, 17, 56
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/widgets/constant_sizes.dart", "Dart", 2, 3, 3, 8
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/widgets/default_ui_elements.dart", "Dart", 19, 3, 4, 26
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/widgets/form_group/login_group.dart", "Dart", 8, 2, 2, 12
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/widgets/form_inputs/form_input_controllers.dart", "Dart", 86, 10, 11, 107
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/widgets/form_inputs/form_input_types.dart", "Dart", 13, 0, 1, 14
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/widgets/form_inputs/form_number_inputs.dart", "Dart", 0, 0, 1, 1
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/widgets/form_status.dart", "Dart", 69, 105, 33, 207
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/theme.dart", "Dart", 20, 1, 2, 23
"/Users/Projects/Flutter/grow_run_v1/lib/main.dart", "Dart", 14, 8, 3, 25
"Total", "-", 5558, 976, 952, 7486
